son_original,fichier_mp3
a,a-38d03b73c63e.mp3
e,e-fd225b0308e8.mp3
é,e-9ff6a27405e3.mp3
i,i-125ee9a03920.mp3
o,o-6d28aae88c48.mp3
u,u-f0c099aca4b1.mp3
ac,ac-80f2764a6ab9.mp3
al,al-76b3c3dcef34.mp3
am,am-e877c9dfca80.mp3
an,an-0db1f57801c5.mp3
ar,ar-fc6febd16747.mp3
au,au-904ab3b95294.mp3
ba,ba-f1191382c9bd.mp3
be,be-8413248422b9.mp3
bé,be-70353090eaa7.mp3
bi,bi-53ba99de3652.mp3
bo,bo-42321b1649ce.mp3
bu,bu-167b087d85cc.mp3
by,by-5d1296f622f2.mp3
ca,ca-bfd9b27d0e08.mp3
ça,ca-6409a4fc9de0.mp3
ce,ce-13ad3c639e5e.mp3
ci,ci-c61cc79dc1ad.mp3
co,co-28b4f9b053a2.mp3
ço,co-cf035a165828.mp3
cu,cu-751397b2fb08.mp3
çu,cu-479c4e5fb5e5.mp3
da,da-ccb39230e572.mp3
de,de-8deabbb18302.mp3
dé,de-b5af499e81db.mp3
di,di-7cc6b412a6fe.mp3
do,do-da727006702c.mp3
du,du-a75dd77a75a1.mp3
ël,el-1f38d52a0185.mp3
em,em-93e3edfef303.mp3
eu,eu-9abfe65ac72f.mp3
fa,fa-f040305acf37.mp3
fe,fe-3c43d198a1a2.mp3
fé,fe-f9b5858e378c.mp3
fi,fi-ca0d1169851f.mp3
fo,fo-9aec60612d40.mp3
fu,fu-10ee955e77c1.mp3
ga,ga-4acd470b53df.mp3
ge,ge-f50e9a9ba6e0.mp3
gi,gi-3a78b484474a.mp3
go,go-c99494762619.mp3
gu,gu-356d70028701.mp3
il,il-743c1670cc5a.mp3
im,im-2671bdb8a660.mp3
in,in-4dc91646ecb5.mp3
ir,ir-6b94b355f85d.mp3
ja,ja-6c74a16cc370.mp3
je,je-3f7095fc4422.mp3
jé,je-386270ca557f.mp3
ji,ji-43c8bd6f7dbc.mp3
jo,jo-19246c02155c.mp3
ju,ju-81d5570f8559.mp3
ké,ke-4e078bfd10b3.mp3
ko,ko-fde1e353b81c.mp3
ku,ku-d690b2650814.mp3
la,la-56422c573255.mp3
le,le-eae92d0ff569.mp3
lé,le-e3b525954f70.mp3
li,li-c7a01ce74184.mp3
lo,lo-cf4cf701ad53.mp3
lu,lu-cd499590b488.mp3
ly,ly-800f01e116c8.mp3
ma,ma-75dcef9593aa.mp3
me,me-3563284ea40e.mp3
mé,me-bf2826b58d67.mp3
mè,me-e0cad98819c4.mp3
mi,mi-9dedd33ea591.mp3
mo,mo-14a8183e4f67.mp3
mu,mu-9070a02f41ac.mp3
my,my-3db1b9e46422.mp3
na,na-50449ae024eb.mp3
ne,ne-9c5ecfe33e60.mp3
né,ne-dd19e7c05e2d.mp3
nê,ne-69b16536795f.mp3
ni,ni-40300dc83bcb.mp3
no,no-aeacbb04104e.mp3
nu,nu-54c17dd10cdc.mp3
ol,ol-d4dc7bb71aa3.mp3
om,om-d221254666e2.mp3
on,on-0dca568e5c47.mp3
or,or-513ce7f32532.mp3
pa,pa-61f10e36b485.mp3
pe,pe-f8c0d707e895.mp3
pé,pe-31f317b2edd8.mp3
pê,pe-26293015aa6d.mp3
pi,pi-941c1f2df6d6.mp3
po,po-99d67fd2560d.mp3
pu,pu-ec42d5c81e3d.mp3
py,py-7a23e8243cb8.mp3
ra,ra-dcc29dbf1f95.mp3
re,re-144b379e8d4e.mp3
ré,re-21587ee29e95.mp3
rè,re-e37d640b958b.mp3
ri,ri-ea7385eda8b3.mp3
ro,ro-f34e85c5faf3.mp3
ru,ru-a4ff9d128f98.mp3
ry,ry-1c0f4088082c.mp3
sa,sa-a614aa4a8fee.mp3
se,se-824142271783.mp3
sé,se-6f6cedbdb67c.mp3
si,si-9b630cac2750.mp3
so,so-713840cb3e1a.mp3
su,su-2b7e287fc089.mp3
sy,sy-9176fdb391ee.mp3
ta,ta-e955b936db16.mp3
te,te-8c181b0ea75a.mp3
té,te-ff8778958de5.mp3
tê,te-bb60001c1bdc.mp3
ti,ti-dd5984848705.mp3
to,to-55bfd3b4cd98.mp3
tu,tu-8c5e46c6517f.mp3
ty,ty-a6d4c5f023f8.mp3
ul,ul-ff7679bee8af.mp3
un,un-5c5353643e87.mp3
ur,ur-8ea775c7b6bf.mp3
va,va-8f79834a101d.mp3
ve,ve-9fc33f74e954.mp3
vé,ve-80a9f85fcd7c.mp3
vi,vi-928611b186ed.mp3
vo,vo-4e1766201f20.mp3
vu,vu-d04c59e07ac1.mp3
za,za-994b8c49084d.mp3
ze,ze-af8b63b23a36.mp3
zé,ze-c09b751f9436.mp3
zi,zi-bd2b3d00cbea.mp3
zo,zo-72febf740356.mp3
zu,zu-d728bcbf5cbd.mp3
ami,ami-f950e6661aab.mp3
ane,ane-6bd8a5e38b4b.mp3
ban,ban-c50ffab93094.mp3
bar,bar-eaa1b743a931.mp3
bec,bec-ed32e1f691a2.mp3
bla,bla-18e20efb8de0.mp3
ble,ble-c3683b17717c.mp3
blo,blo-a3a69fe9aee3.mp3
boi,boi-f9cfddc13720.mp3
bol,bol-53488780e995.mp3
bou,bou-13c1c6bdafbc.mp3
bra,bra-80209e84ec2d.mp3
